quelle,episode,index_string,index_binar
300_301_302_513A_516_554_FL_ID22,langer zeit lebte einmal ein khan der hatte einen einzigen sohn dieser war hochmuetig und stoerte die wassertraegerinnen beiihrer arbeit die armen frauen trugen das wasser in zubern auf dem ruecken der khansohn aber kam heraus und schoss auf solch einen zuber nur zum zeitvertreib er zerschlug ihn und das wasser ergoss sich ueber die frauen eines tages ging eine zauberin mit dem zuber hinaus zum fluss der sohn des khans setzte seinen pfeil auch auf sie an er flog in den zuber auf ihrem ruecken und der zuber zerbarst in spaene das wasser aber durchnaesste die zauberin bis aufs hemd dein stolz und hochmut sollen dir vergehen verwuenschte ihn die zauberin es gab auch andere khansoehne die liessen die leute ungehindert nach wasser gehen du aber laesst unsereinen nicht einmal wasser holen fuer deinen hochmut uns armen frauen gegenueber soll gott in dein herz das bild der uacirochs zardirochs senken auf dass dir alle menschen unertraeglich werden ausser ihr und dass kein wort mehr zu dir dringe das soll dich treffen zur strafe dafuer dass du uns kraenkst der khansohn ging sogleich nach hause er trat in sein gemach riegelte drei tueren hinter sich zu und fiel auf sein bett nieder die eltern beunruhigten sich und suchen ihren einzigen sohn wo ist er was ist ihm vielleicht schlaeft er doch auch der schlaf hat seine grenzen eine zeitlang warteten sie und hofften dass ihr sohn von selbst zum vorschein kommen wird doch als er nicht erschien klopften sie an seine tuer aber nein er oeffnet nicht niemandem gibt er antwort er hoert auf keinen ruf die einwohner des dorfes beunruhigten sich auch die nachricht dass der khansohn die tueren hinter sich verschlossen hat und auf einen ruf nicht antwortete drang auch zu ihnen da versammelten sich alle alt und jung der reihe nach pochten sie an sein fenster und an die tueren  er aber antwortet nicht auf ihr pochen und rufen da sagte ein greis irgendein kummer hat ihn befallen schnell schickt einen boten zu seinem onkel matara dem bruder seiner mutter sie setzten einen juengling der sich unter seinen kameraden hervorgetan hatte aufs pferd und befahlen ihm reite schnell tag und nacht und bringe seinen onkel matara den bruder seiner mutter hierher der juengling trabte sogleich los wie ein ungluecksbote der gelangte zu matara dem onkel des khansohnes dem bruder der mutter und ueberbrachte ihm die beunruhigende nachricht dein neffe der khansohn hat drei tueren hinter sich verschlossen antwortet niemandem weder auf sein rufen noch auf sein klopfen und oeffnet die tueren nicht ihm ist etwas zugestossen reite schnell zu ihm  wir reiten sofort sagte matara schnell sattelte er sein pferd sass auf und eilte voller unruhe zu seinem neffen er gelangte zum hause des khan sprang schnell vom pferde und begab sich ohne gruss eilends zur tuer mach auf klopfte er doch jener oeffnete die tuer auch ihm nicht matara rief ihn noch einmal aber er antwortete nicht da schlug matara die tuer mit seiner ferse ein und sie zerbarst als er so alle drei tueren eingeschlagen hatte ging er hinein zu seinem neffen und fand ihn mit dem gesicht nach unten gekehrt auf dem bette liegend was ist dir fragt ihn matara welch ein unglueck ist dir zugestossen warum hast du alle so in unruhe versetzt der khansohn schweigt und antwortet ihm nichts da ergriff matara ihn am arm schleuderte ihn vom bett und spricht was schweigst du was ist dir geschehen und da sagte der khansohn sein neffe eine zauberin hat mich verflucht und sogleich fuhr mir uacirochs zardirochs ins herz nichts verstehe ich mehr ich hoere weder vater noch mutter noch die anderen menschen wer sie ist weiss ich nicht aber ich bin von leidenschaftlicher liebe zu ihr ergriffen verzage darum nicht sagte matara wenn ich am leben bleibe werden wir sie erlangen jetzt beunruhige dich nicht mehr schlage dir deine unruhigen gedanken aus dem kopf matara liess sogleich zwoelf wagen stahl herbeifahren aus dem stahl fertigte er pfeil und bogen danach machte er sich zusammen mit dem khansohn auf den weg,e516_a_,0
300_301_302_513A_516_554_FL_ID22,als sie ein wenig aus ihrem dorf herausgeritten waren wandte sich matara mit einem gebet an den gott der goetter o mein gott gott der goetter ich schiesse diesen pfeilab lass ıhn mir vorangehen lass ihn eine furche ziehen wie mit einem pflug und dorthin gelangen wo sich uacirochs zardirochs befindet dort aber soll er in der erde steckenbleiben matara schoss seinen pfeil ab und er eilte ihnen voran und zog eine furche wie mit einem pflug sie ritten auf dem gebahnten wege und gelangten dorthin wo sich uacırochs zardirochs befand sieben riesen versammelten sich um den pfeil von dem bogen mataras der in der erde steckengeblieben war der reihe nach versuchen sie ihn herauszuziehen doch es gelingt ihnen nicht sie machten sich zu siebt an ihn heran doch auch zu siebt konnten sie ihn nicht aus der erde ziehen gerade in diesem augenblick tauchte vor ihnen matara auf mit seinem schwestersohn dem sohn des khans einen guten tag euch wandte sich matara gruessend an die riesen warum ruehrt ihr den gegenstand eines gastes an was geht er euch an die sieben riesen erschraken furchtbar dass dieser gast ihnen unheil androhte und antworten wir versammelten uns um ihn wie vor einer wunderbaren erscheinung dass er einem gast gehoert das wussten wir nicht wie wir uns mit ihm auch abmuehten wir konnten ihn nicht aus der erde ziehen wir sind eure gaeste sagte matara zu ihnen wir sind keine feinde und keine gewalttaeter sondern wollen mit euch verwandt werden wenn ihr uns sagt wer eure schwester ist und wissen wollt wer wir sind und welche sitten bei uns herrschen so werden wir uns mit euch unterhalten die riesen sagten viele kamen zu uns um unsere schwester zu freien doch sie waren nicht imstande die bedingungen zu erfuellen die wir ihnen stellten wir verfuhren mit ihnen so dass sie nicht mehr nach hause zurueckkehrten  und welches sind eure bedingungen fragt sie matara morgen ziehen wir auf die jagd er soll allein so viel wild tragen wie jeder von uns heimtraegt und wieviel traegt jeder von euch heim fragt matara wir tragen antworten sie der eine einen gehaeuteten und ausgeweideten hirsch der andere einen ganzen baum mit wurzeln und zweigen matara sagt zu den riesen macht euch bereit fuer den morgen ich bin einverstanden mit dieser eurer bedingung welches sind eure anderen bedingungen das ist unser erstes brautgeld die zweite bedingung aber ıst folgende der braeutigam soll auf den hoechsten wipfel des baumes steigen der an der schwelle unseres hauses steht dabei soll er einen krug zerlassener butter mit sich nehmen wenn er zum wipfel gelangt ist soll er den krug so mit dem boden nach oben umwenden dass dabei nicht ein tropfen butter vergossen wird dann soll er den krug umgewendet in eine gabelung zwischen zwei zweige stellen und vom baum herabsteigen die dritte bedingung aber ist folgende wenn wir von der jagd heimkehren und die hirsche und die ganzen baeume heimgetragen haben soll er alle erlegten hirsche so zerteilen wie einen einzigen die ganzen baeume aber soll er zu kleinholz schlagen als ob er es mit einem baum zu tun habe erfuellt er alle diese drei bedingungen so wird er unser schwager gut sagte matara die baeume sind seine aufgabe und mit euch auf die jagd gehen das ist meine aufgabe wir haben einen brauch die haustiere bei der braut bereitet nicht der braeutigam sondern der andere welcher mit ihm kommt am morgen zogen die riesen auf die jagd und nahmen matara als achten jaeger mit nach der jagd traegt jeder der riesen entweder einen erlegten hirsch oder einen ganzen baum matara aber traegt auf der einen schulter einen erlegten hirsch und auf der anderen einen ganzen baum an der verabredeten stelle trafen sie zusammen und als die riesen matara erblickten erschraken sie wiederum dieser mensch droht uns mit dem verderben sagten sie die riesen kamen nach hause und jeder warf seine buerde ab matara kam auch in das haus der riesen den ganzen baum warf er von der schulter auf die erde und er zersplitterte in feine spaene dann ergriff er den erlegten hirsch beim maul und zog ihm die haut ab wie man sie fuer einen weinschlauch abzieht im ganzen den hirsch zerhieb er in teile und warf sie in einen kuebel dann sagt er zu den sieben riesen esel bereitet euer wild selbst zu schlagt eure baeume zu kleinholz wir haben keine zeit die machten sich auch an die zerteilung der hirsche mit muehe rissen sie ganze stuecke ab aus angst vor matara gehorchten ihnen die haende nicht mehr schliesslich zerteilten sie ihre hirsche schlugen ihre baeume zu kleinholz und sagen jetzt muss unsere andere bedingung erfuellt werden der braeutigam soll mit einem krug butter in der hand auf den baum steigen der braeutigam der khansohn stieg mit dem krug butter in der hand auf den baum er gelangte bis zum wipfel des baumes wendete den krug mit dem boden nach oben um und die butter floss heraus die riesen liefen mit einem schrei zusammen seht die butter ist ihm ausgeflossen he esel sagte ihnen matara er sah vom wipfel des baumes aus seine heimat das herz zog sich ihm zusammen vor sehnsucht nach ihr und er vergoss traenen das sind seine traenen keine butter die riesen beruhigten sich der khansohn stieg vom baume herab,e516_a_,0
300_301_302_513A_516_554_FL_ID22,die riesen willigten ein ihm ihre schwester uacirochs zardirochs zur frau zu geben dem jungen paar haendigten sie die schluessel von zwoelf tueren aus und sagten in diesen gemaechern verbringt froh eure zeit ergoetzt euch an den wunderdingen die sich in ihnen befinden öffnet elf tueren doch oeffnet auf keinen fall die zwoelfte tuerl am naechsten tag zogen die riesen auf die jagd und mit ihnen matara sie jagten einige tage das junge paar spazierte vergnuegt durch seine gemaecher eines tages bedraengte der khansohn uacirochs zardirochs ich oeffne auch die zwoelfte tuer sagte er die darf nicht geoeffnet werden ueberzeugte sie ihn so hielt sie ihn ein zwei tage ab aber dann hoerte er nicht mehr auf sie und oeffnete die zwoelfte tuer in diesem gemach aber befand sich der riese kantdziti naluajug in ketten gefesselt und auch eine wasserquelle war da beim anblick des khansohnes stellte sich der riese hilflos und wandte sich an ihn mit folgenden worten ei was bist du fuer ein junger huebscher mensch und in solch hilfloser lage lebe ich nun schon so viele jahre meine arme meine knie mein hals sind von den ketten zerschunden abgestorben ich bitte dich uebergiesse mich mit wasser aus dieser quelle da damit sich meine wunden ein wenig beruhigen der sohn des khans fuehlte mitleid mit dem riesen und begoss seine kettenmit dem wasser aus der quelle die sich in dem gleichen gemach befand seine ketten fielen klirrend zu boden der riese sprang auf ergriff den khansohn steckte ihn eilends hinter einen balken des dachbodens ergriff uacirochs zardirochs und lief mit ihr fort,e516_a_,0
300_301_302_513A_516_554_FL_ID22,die riesen und matara kehrten von der jagd heim und fanden die zwoelfte tuer offen sie gingen durch alle gemaecher doch weder ihr schwager der khansohn noch ihre schwester uacirochs zardirochs oder kantdziti naluajug waren zu sehen nach langem suchen fanden sie den khansohn noch lebend auf dem dachboden hinter einen balken gesteckt die sieben riesen fingen an zu weinen und sagten dieser riese hat viele jahre lang um unsere schwester uacirochs zardirochs geworben doch wir lehnten ihn ab und als wir seiner ueberdruessig waren banden wir ihn mit ketten und hielten ihn in dieser lage im zwoelften gemach fest nun aber hat euch und uns ein grosses unglueck getroffen sie weinten und schluchzten und wussten nicht was sie tun sollten da sagte matara ich lasse meinen neffen bei euch als geisel zurueck ich selber aber mache mich unverzueglich auf die suche nach uacirochs zardirochs wenn ihm in meiner abwesenheit etwas zustoesst dann bringe ich euch alle um matara machte sich sogleich auf den weg er schoss mit seinem bogen einen pfeilab und wandte sich an gott mit dem gebet o gott der goetter mein gott fuehre meinen pfeil wie nach der furche eines pfluges dorthin wo sich kantdziti naluajug befindet der pfeil flog fort und liess eine furche hinter sich matara folgte ihr und stiess auf einen menschen der liess einen gefangenen hasen frei als aber der hase mit aller kraft davonlaufen wollte stuerzte er ihm nach und fing ihn an den hinterbeinen matara traf ihn bei dieser beschaeftigung und wandte sich gruessend an ihn moegest du einen guten tag haben guter mann was ist das ein wunder welch ein laeufer du bist faengst in vollem laufe einen hasen an den hinterbeinen eh antwortete der ich bin kein wunder ein wunder das ist der sohn des dauuaj matara der auf zwoelf wagen stahl herbeifuhr undssich daraus pfeil und bogen fertigte wenn es so ist matara das bin ich sagte jener dann bist du mir ein bruder antwortete ihm der herr des hasen ich werde mit dir gehen wohin du willst und werde dir bruederliche hilfe erweisen so waren sie zu zweit und gingen gemeinsam weiter sie gingen und gingen und stiessen auf einen menschen er bindet baeume aneinander und spielt mit ihnen was bist du fuer ein wunder sagt matara bindest ganze baeume zusammen und spielst mit ihnen ich bin kein wunder antwortet jener ein wunder das ist der sohn des dauuaj matara der auf zwoelf paar ochsen stahl herfahren liess und sich daraus pfeil und bogen fertigte wenn es so ist dasbin ich sagte matara dann bin auch ich dir ein bruder und werde mit dir gehen wohin du deine schritte lenkst so gingen sie zu dritt weiter und trafen an einem ort noch einmal auf einen menschen der hielt sein ohr an die erde und lauschte was bist du fuer ein wunder sagt matara dein ohr legtest du an die erde welche nachrichten kuendet sie dir nicht ich bin ein wunder antwortete jener ein groesseres wunder als ich ist der sohn des dauuaj matara der auf zwoelf paar ochsen stahl herfuhr und aus ihm sich pfeil und bogen fertigte ich aber lausche den ameisen sie erzaehlen viele geschichten und ich horche sie ab wenn es so ist bin ich matara sagte jener wenn du matara bist so bin ich dir ein bruder und gehe mit dir wohin du deine schritte lenkst so waren sie zu viert matara erzaehlte seinen neuen kameraden die sich seine brueder nannten seine erlebnisse und dass er die entfuehrte uacirochs zardirochs sucht wenn es sein muss werden wir um deinetwillen unser leben opfern beteuerten seine neuen kameraden auf dem vorgezeichneten wege die furche entlang die der pfeil wie ein pflug gezogen hatte gingen sie zu viert weiter,e513a_a_,0
300_301_302_513A_516_554_FL_ID22,wie weit sich die furche hinzog weiss gott allein doch an einer stelle hoerte sie ploetzlich auf der pfeil steckte in der erde neben ihm erblickten sie steinplatten matara hob eine auf und entdeckte in der tiefe ein zimmer in dem kantdziti naluajug schlief uacirochs zardirochs aber sass an seinem kopfende und wehrte ihm die fliegen ab matara befahl seinen kameraden ihn an einem seil in dieses zimmer hinabzulassen und sagte wenn ich das seil bewege so zieht mich wieder nach oben die kameraden liessen matara am seil in dieses zimmer hinunter und er stand ploetzlich vor uacirochs zardirochs sie sagt zu ihm du hast dich und mich ins verderben gestuerzt weshalb bist du heruntergekommen er wird uns beide vernichten es genuegt schon dass ich umkomme aber weshalb richtest du dich auch noch selbst zugrunde  lass das sagte matara zu ihr finde lieber heraus wo seine seele versteckt ist stelle dich weinend und sage zu ihm du gehst fort auf die jagd oder schlaefst eine ganze woche ich aber bleibe allein und habe nichts zu meiner zerstreuung zeige mir wo sich deine seele befindet damit ich mich in deiner abwesenheit mit ihr unterhalten kann so lehrte sie matara als der riese erwachte und sah dass uacirochs zardirochs traurig war begann er sie auszufragen weshalb sie traurig sei du gehst fort ich aber bleibe allein zurueck sagte sie oder du schlaefst eine ganze woche lang und wenn du aufwachst so ziehst du von neuem auf die jagd und ich vergehe vor einsamkeit sage mir wo befindet sich deine seele dass ich in ihr eine stuetze finden kann  meine seele befindet sich in unserem herd antwortete er und ging auf die jagd in seiner abwesenheit schmueckte sie den herd und erfreute sich an ihm dreimal betrog er sie so doch beim vierten mal sagt er zu ıhr he du dumme wenn sich meine seele an solchen stellen befinden wuerde so wuerde ich heute nicht mehr leben meine seele befindet sich dort an dem und dem ort ıst ein sumpf in dem sumpf aber haust ein wildschwein wenn du dich dem wildschwein bis auf zwei meilen naeherst so gibt es einen pfiff von sich und dieser pfiff traegt dich an den rand des himmels die menschen maehen fuer das wildschwein heu und stellen heuschober um den sumpf herum auf die wie ein tisch aussehen es faengt an heu von dem ersten heuschober zu fressen es ist nicht moeglich sich ihm zu naehern auch ein gewehr besiegt es nicht auf der stirn hat es drei weisse kleine borsten und auf sie trifft niemand in ihm ist ein hase im hasen eine schatulle in der schatulle aber sind drei schwalben sie sind  meine seele du kannst niemals zu ihnen gelangen kannst dich nicht an ihnen erfreuen so sagte er ihr und verfiel wiederum in einen einwoechigen schlaf,e302_k_erkundigung_ueber_den_aufenthaltsort_des_lebens_des_AN,0
300_301_302_513A_516_554_FL_ID22,matara liess sich von neuem am seil zu uacirochs zardirochs hinab und fragt sie nun welche nachricht hast du sie gab ihm alles wieder was ihr der riese erzaehlt hatte matara warnte uacirochs zardirochs es kann geschehen dass er vor seinem untergang zu schreien anfaengt du aber gehe nicht nahe an ihn heran er wird dich bitten heranzukommen du aber lass dich nicht betruegen er bewegte das seil an dem man ihn zu uacirochs zardirochs hinabgelassen hatte und die kameraden zogen ihn wieder nach oben er sagte zu ihnen lebt so lange an dem und dem ort ich aber kehre nach einiger zeit zu euch zurueck er stuerzte zu dem sumpf in welchem das wildschwein hauste und traf dort leute die fuer das wildschwein heu maehten und es am ufer des sumpfes in heuscho ber stopften wie steht es mit eurer arbeit fragte sie matara sie erzaehlten ihm von den schweren arbeitstagen bei dem wildschwein matara machte sich mit ihnen an den aufbau eines tisches aus heuhaufen aber er machte es so dass ım tisch fuer ihn eine schiessscharte blieb als der tisch aus den heuhaufen zusammengestellt war kletterte das wildschwein aus dem sumpf es ging an den tisch heran pfiff und lief zurueck schliesslich konnte es sich nicht mehr zurueckhalten und fiel gierig ueber den tisch her der aus heuhaufen gebaut war matara schoss aus der schiessscharte einen pfeil auf es ab der es an der stirn zwischen den drei weissen borsten traf und das wildschwein wie angewurzelt stehenbleiben liess matara sprang aus seinem hinterhalt hervor warf sich auf das schwein schnitt ihm den bauch auf wie man gewoehnlich dem wild den bauch aufschneidet und holte den hasen heraus er schnitt den hasen auf und holte aus seinem bauch die schatulle heraus er oeffnete die schatulle und drehte in der gleichen minute den beiden schwalben die haelse um der riese stiess einen schrei aus aber aufstehen konnte er schon nicht mehr mataraerklaerte den leuten die fuer das wildschwein sklavendienste tun mussten dass sie frei seien von ihren verpflichtungen sie dankten ihm er aber stuerzte eilends mit einer schwalbe ın der schatulle zu seinen kameraden der riese der kaum noch lebte wandte sich an uacirochs zardirochs komm naeher zu mir mir geht es nicht gut beruehre mich mit deiner hand doch sie trat nicht einmal nahe an ihn heran unterdessen hatte sich matara von neuem an dem seil zu uacirochs zardirochs hinabgelassen und fragte den riesen zeige wo sich all deine habe befindet der riese zeigte ihm all seine habe und bat ihn zu verschonen ihm nicht das leben zu nehmen doch matara drehte auch der dritten schwalbe den kopf um und der riese starb da sagte uacirochs zardirochs zu matara man darf den menschen nicht trauen sollen sie dich am seil vor mir hinaufziehen obwohl deine kameraden sich deine brueder nannten koennen sie dich trotzdem betruegen wenn sie mich gesehen haben werden sie das seil nicht mehr hinunterlassen um auch dich herauszuziehen  das ist meiner nicht wuerdig sagte matara zu ihr klettere du zuerstheraus  tue das nicht sagt uacirochs zardirochs noch einmal zu ihm klettere vor mir nach oben sonst wird dies deinen untergang bedeuten wenn dich deine kameraden betruegen so tritt hinaus in die diele und wirf dich sofort auf einen der beiden hammel welche da am strick stehen dein glueck wenn du den weissen hammel an den hoernern ergreifst ergreifst du aber den schwarzen so erwartet dich unheil matara lehnte es trotzdem ab als erster hinaufzusteigen und die kameraden zogen zuerst uacirochs zardirochs hinauf doch das seil auch fuer ihn hinabzulassen daran dachten sie schon gar nicht mehrer wartete lange und als er sah dass sie das seil nicht herablassen lief er hinaus auf die diele im anlauf ergriff er den schwarzen hammel bei den hoernern und der hammel schleuderte matara in die siebente unterirdische welt,e302_m_kampf_bis_zum_sieg,0
300_301_302_513A_516_554_FL_ID22, als er sich nun so ploetzlich in der siebenten unterirdischen welt befand verlor matara nicht den kopf er ging einen unbekannten weg entlang und kam auf ihm an den rand eines dorfes er blieb als gast im hause einer armen frau die ihn gastfreundlich empfing du musst hungrig sein gast ich werde einen brotfladen backen sagte die alte trug in einem trog mehl heraus und versuchte ihn statt mit wasser mitihrem eigenen harn zu kneten doch matara hielt sie auf was tust du  moege ich deine krankheiten auffressen sagte die alte ein drache hat sich unseres flusses bemaechtigt und erlaubt niemandem wasser zu holen demdem gast wird er erlauben wasser zu holen sagte matara ergriff zwei eimer schoepfte wasser und trug es her der drache zischte ihn an doch matara sagte zu ihm dem gast ist es verzeihlich die alte backte einen brotfladen gab ihrem gast zu essen und dann sagt sie zu ihm morgen muessen wir dem drachen unseren tribut bringen alljaehrlich muessen wir fuer ihn ein maedchen und einen juengling auslosen das los dieses jahres fiel auf die tochter unseres khans was ist denn das fuer eine ordnung fragt matara was macht er mit ihnen die alte aber sagt wir geleiten sie mit dem ganzen dorf nur bis zu einer bestimmten stelle wir fuerchten naeher an den drachen heranzugehen weiter gehen sie dann allein und wann bringt man sie fort fragt von neuem matara morgen antwortete die alte,e300_c_anfangssituation_ankunft_und_erkundigung_der_not,1
300_301_302_513A_516_554_FL_ID22,matara bewaffnete sich und verschwand so dass sogar die alte davon nichts erfuhr die tochter des khans und den sohn eines armen auf welche das los gefallen war geleitete das ganze dorf mit weinen und schluchzen man fuehrte sie bis zu dem ausgemachten ort von dem aus sie weder der khan noch der arme der vater des juenglings und niemand aus dem dorf weiter geleiten konnte und sagte jetzt muessen wir uns fuer alle ewigkeit von euch trennen und werden einander niemals wiedersehen und das dorf kehrte mit weinen um die ungluecklichen aber die khantochter und der sohn des armen zogen zu zweit weiter zu dem drachen matara lief ihnen in den weg als ob er sie zufaellig getroffen haette und sagt zu ihnen moege euer weg gerade verlaufen sie aber antworteten ihm moege der weg dessen der dich verflucht nicht gerader sein als der weg den wir heute gehen er fragt als ober nichts wuesste wer seid ihr wohin geht ihr was bekuemmert euch auf unserem fluss sitzt ein drache antworteten sie alljaehrlich zahlen wir ihm tribut mit einem maedchen und einem juengling ich bin die tochter des khan und das ist der sohn eines armen wir gehen in unser verderben der drache blaest ın unsere richtung der wind traegt uns zu ihm und er frisst uns auf wenn es so ist gehe ich ein wenig mit euch sagt matara doch jene antworten wir gehen zugrunde gast so stuerze du dich nicht auch ins verderben wir wissen nicht wer du bist wir haben dich nie gesehen  nein beunruhigt euch nicht ueber mich sagt matara ich bin ein gast und vielleicht verzeiht er mir wenn ich ihm sage waraum erlaubst du ihnen nicht ihres weges zu gehen so gingen sie zusammen und kamen an die verabredete stelle matara fragt ist dies schon der ort an dem ihr anhalten sollt ja hier muessen wir anhalten antworteten sie taucht er selbst bei euch auf oder geht ihr zu ihm gleich wird er sich zeigen antworteten sie ihm und in unsere richtung blasen der hauch seines rachens ist so stark dass er uns forttraegt geradeswegs in seinen rachen hinein darauf sagt matara bleibt hier stehen wenn er sich zeigt und wenn sein hauch so stark ist so legt euch in die vertiefung dieser furche der drache liess nicht auf sich warten und wendet sich an matara wer bist du du gehoerst nicht zu dem tribut der mir zusteht_ und was stoert es dich wenn es statt zwei drei sind antwortet matara da blies der drache sie an die khantochter und der sohn des armen legten sich schnell in die furche matara aber bewegte sich nicht einmal von der stelle der drache blies in die andere richtung doch matara bewegte sich wieder nicht von der stelle da sprang der drache auf matara zu kruemmte sich und sagte zu ihm wer bist du du gehoerst nicht zu dem mir zustehenden tribut warum betratest du meinen boden ich bin ein gast antwortet matara verzichte um meinetwillen dieses mal auf deinen tribut lass mich nur zu dir hinkommen schreit der drache dann werde ich dir zeigen um deiner gaeste willen der drache blies und wollte ueber matara herfallen glueht ihn an mit einer flamme aus seinem rachen matara hatte pfeil und bogen bei sich die aus dem stahl gefertigt waren welchen er auf zwoelf paar ochsen herbeigefahren hatte er zielte auf den drachen und verpasste ihm einen pfeil mitten auf die stirn der pfeil liess ihn wie angewurzelt stehen der drache wand seinen schwanz und schlug mit ihm gegen die erde mit dem kopf konnte er schon nichts mehr machen und schrie als ob die welt unterginge matara trat zu ihm ergriff sein schwert und begann den drachen zu zerschlagen er zerhieb ihn und schichtete ihn auf so wie man holz schichtet,e300_e_vorfeld_des_kampfes_bis_zum_sieg,0
300_301_302_513A_516_554_FL_ID22,aus der stirn des drachen zog er seinen pfeil und legte ihn an seinen ortdann ging er zu der khantochter und dem sohn des armen und sagte meine lieben kehret unbeschadet heim vom heutigen tage an koennt ihr frei wasser trinken ich aber setze meinen weg fort die khantochter sagte du hast uns so viel gutes erwiesen dass wir dich nicht gehen lassen koennen ohne dass du meine mutter und meinen vater begruesst hast  ich bin nicht aus eurem lande sagte matara ich gehe meinem geschaeft nach und darf nicht laenger hierbleiben matara ging seines weges die betruebte khantochter aber blieb allein zurueck mit dem sohn des armen,e300_g_nach_dem_sieg_bis_zur_trennung_des_HD_und_des_OB,0
300_301_302_513A_516_554_FL_ID22,sie kehrten um und kamen zu ihrem dorf das dorf war erschrocken ueber ihre rueckkehr die leute begannen zu weinen und sprachen sie haben uns ins verderben gestuerzt jetzt wird der drache uns alle verschlingen unterwegs sagte der sohn des armen zu der tochter des khan sage dass ich den drachen erschlug sonst toete ich dich,e300_k_misshandlung_des_FH_bis_zur_hochzeitstag,0
